Company Owner,Allocation Date,Segment,Firmable ID,Company,Website,Priority,ICP Score,Industry Tier,Sub-segment,Velocity,Coverage Motion,ANZ Signal,SEA Presence,In SG,In MY,In ID,In PH,HQ,Account Type,Org Size,B2B Type,Industry,APAC Sales HC,AU Sales,NZ Emp,SG Sales,MY Sales,ID Sales,PH Sales,HK Sales,JP Sales
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000548338,ACI Worldwide,aciworldwide.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Financial technology (fintech)",16,4,8,6,4,—,—,—,2
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001348397,Accuris,accuristech.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",22,7,1,—,10,—,—,—,5
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000556721,Agora,agora.io,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Telecommunications services",10,—,1,2,—,—,8,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001483510,Alation,alation.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Data analytics or artificial intelligence",11,6,—,5,—,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001438617,AlphaSense,alpha-sense.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, Data analytics or artificial intelligence",41,2,—,38,—,—,—,1,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000566897,Altair,altair.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, Data analytics or artificial intelligence",24,3,3,2,3,—,—,—,16
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001576805,Amplitude,amplitude.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),11-50 employees,b2b,"Computer software, Data analytics or artificial intelligence",11,4,—,6,—,—,—,—,1
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001381800,Ansys,ansys.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,Yes,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"High-tech manufacturing, Computer software",35,2,—,2,1,—,—,—,30
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000747524,Appian Corporation,appian.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, Data analytics or artificial intelligence",18,14,—,4,—,—,—,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001565624,"Apptio, an IBM Company",apptio.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Computer software, IT consulting and support services",19,7,—,3,—,—,—,—,9
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000000574507,Aptean,aptean.com,P1 - Strategic,Very High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2bvsb2c-no-data,"Computer software, IT consulting and support services",28,2,1,—,—,—,26,—,—
Vanessa,10-Apr,SaaS SEA P1 ANZ Fast US,f000001695650,Archer Integrated Risk Management,archerirm.com,P1 - Strategic,High,Tier A,SaaS / Software,Fast (<200 emp),ANZ + SEA + HK/JP,ANZ,Yes,Yes,,,Yes,US,Non-SEA HQ (APAC presence),51-200 employees,b2b,"Cybersecurity, IT consulting and support services",13,6,—,3,—,—,1,—,3
